specialites,formation,nb_candidats_voeu,nb_candidats_admis,nb_candidats_acceptes
"['Arts', 'Humanités, Littérature et Philosophie']",CPGE L,391,266.0,138
"['Arts', 'Numérique et Sciences Informatiques']",CPGE ECG,2,1.0,0
"['Arts', 'Numérique et Sciences Informatiques']",Formations d'ART,163,51.0,32
"['Arts', 'Physique-Chimie']","Licence Archéologie, Ethno, Préhistoire, Anthropologie",3,2.0,1
"['Arts', 'Physique-Chimie']",Ensemble des candidats bacheliers,513,470.0,350
"['Arts', 'Sciences économiques et sociales']",Formations d'ART,548,209.0,121
"['Arts', 'Sciences de la vie et de la terre']",Licence Physique et chimie,0,0.0,0
"['Arts', 'Sciences de la vie et de la terre']",CPGE S,17,2.0,1
"['Biologie-Ecologie', 'Mathématiques']",D.E social,2,0.0,0
"['Physique-Chimie', 'Biologie-Ecologie']",Licence Géographie,19,15.0,2
"['Humanités, Littérature et Philosophie', 'Langues, Littératures et Cultures Etrangères et Régionales']",Licence Géographie,116,58.0,8
"['Humanités, Littérature et Philosophie', 'Langues, Littératures et Cultures Etrangères et Régionales']",Licence Pluri Lettres - Langues - Sciences humaines,743,507.0,89
"['Humanités, Littérature et Philosophie', 'Langues, Littératures et Cultures Etrangères et Régionales']","Licence Sciences de la vie, biologie, santé",20,10.0,5
"['Humanités, Littérature et Philosophie', 'Langues, Littératures et Cultures Etrangères et Régionales']",Sciences Po,144,12.0,9
"['Humanités, Littérature et Philosophie', 'Mathématiques']",Licence Sciences de l'éducation,102,70.0,28
"['Humanités, Littérature et Philosophie', 'Numérique et Sciences Informatiques']",Licence Géographie,2,1.0,1
"['Humanités, Littérature et Philosophie', 'Numérique et Sciences Informatiques']",BTS production,12,2.0,1
"['Langues, Littératures et Cultures Etrangères et Régionales', ""Littératures, langues et culture de l'antiquité""]",CPGE S,0,0.0,0
"['Mathématiques', 'Langues, Littératures et Cultures Etrangères et Régionales']","Licence Electronique, Génie électrique, EEA",3,2.0,0
"['Mathématiques', 'Langues, Littératures et Cultures Etrangères et Régionales']",Licence Pluri Langues,32,17.0,5
